Topic,Question
Project,"What exactly is Simple Mining proposing to build and operate at the Cascade site, and what services or computing workloads do you currently expect the facility to support?"
Project,"Is this facility being designed specifically for Bitcoin or cryptocurrency mining, or could it also host AI, high-performance computing, cloud computing, colocation, or other data-center customers?"
Project,"Who will own the Cascade facility, who will operate it, and which legal entity will ultimately be responsible for complying with agreements made with the City of Cascade?"
Project,"What is the proposed size of the initial facility in square feet, and what is the maximum size the site could reach if fully developed?"
Project,"Is the project expected to be constructed in phases? If so, what are the anticipated phases, sizes, and approximate timelines?"
Electricity,"What is the expected average electrical demand of the initial Cascade facility in megawatts, and what is the expected maximum or peak demand?"
Electricity,What would the electrical demand be if the Cascade site were fully built out to its maximum planned capacity?
Electricity,"What utility, substation, transmission, generation, or distribution upgrades will be required to serve the facility?"
Electricity,Who will pay for electrical infrastructure upgrades required specifically because of this project?
Electricity,Can Simple Mining commit that Cascade residents and other existing utility customers will not be required to subsidize infrastructure constructed primarily to serve this facility?
Electricity,"Will the facility participate in utility demand-response or curtailment programs during periods of unusually high electrical demand, and if so, how would those programs work?"
Cooling,What specific cooling technology is proposed for the Cascade facility?
Cooling,"Will the computing equipment use closed-loop liquid cooling, air cooling, evaporative cooling, immersion cooling, or some combination of these systems?"
Water,What is the estimated average daily water consumption for the initial Cascade facility?
Water,What is the estimated maximum daily water consumption during the hottest operating conditions?
Water,What is the estimated annual water consumption at initial operation and at maximum buildout?
Water,"What source will supply water to the facility, and would any water be obtained from Cascade's municipal water system or local groundwater?"
Water,Will the facility use potable municipal water for cooling or other industrial purposes?
Water,"What happens to water after it is used by the facility, including any wastewater, blowdown, discharge, or treatment?"
Water,"What chemicals, if any, will be added to cooling or water-treatment systems, and how will those chemicals be stored and disposed of?"
Water,"What measures would Simple Mining take to reduce water consumption during drought, water shortages, or unusually hot conditions?"
Noise,What is the predicted continuous noise level in dBA at the property line during normal operation?
Noise,What is the predicted noise level at the nearest existing residence during normal daytime and nighttime operation?
Noise,"Has Simple Mining performed or commissioned an acoustical model for the Cascade site? If so, will the complete report be made available to the public?"
Noise,Will the noise study evaluate tonal noise and low-frequency noise in addition to the overall A-weighted dBA level?
Noise,"What cooling fans, transformers, generators, pumps, or other equipment are expected to be the major sources of continuous noise?"
Noise,"Is Simple Mining willing to accept an enforceable property-line noise limit, including separate nighttime requirements?"
Noise,Is Simple Mining willing to fund independent post-construction noise measurements performed by a qualified third party selected or approved by the City?
Noise,"If post-construction testing shows that the facility exceeds an agreed noise limit, what specific corrective actions would Simple Mining be willing to take?"
Generators,"How many backup generators are currently anticipated for the Cascade facility, what type and size would they be, and what fuel would they use?"
Generators,"How often would backup generators normally be tested, during what hours, and approximately how long would each test last?"
Generators,What noise levels and air emissions are expected from backup generator operation?
Environment,Is Simple Mining willing to pay for an independent environmental impact assessment of the Cascade project performed by a qualified third party acceptable to the City?
Environment,"What effects could the proposed facility have on stormwater runoff, drainage, erosion, groundwater, or nearby surface water?"
Environment,"What waste streams will the facility generate, including electronic waste, batteries, oils, coolants, chemicals, filters, or other industrial materials?"
Environment,How will waste electronics and failed computing equipment be recycled or disposed of?
Environment,"What heat will be rejected into the surrounding environment, and has Simple Mining evaluated whether the facility could create measurable localized heat impacts?"
Jobs,How many temporary construction jobs are expected to be created by the Cascade project?
Jobs,How many permanent full-time equivalent employees are expected to work at the Cascade facility after normal operations begin?
